"拼音"	"寬式IPA"	"調號"	"字甲"	"字乙"	"釋義"
"zh"	"tʃɿ"	7	"窒"		"～塞"
"zh"	"tʃɿ"	7	"螲"		"～蟷，蟲名"
"zh"	"tʃɿ"	7	"膣"		"～道"
"zh"	"tʃɿ"	7	"昵"		"黏也"
"zh"	"tʃɿ"	7	"馽"	"𱅁"	"同「縶」：絆馬足也"
"zh"	"tʃɿ"	7	"炙"		"大爇肉也"
"zh"	"tʃɿ"	7	"湜"		"水清底見也"
"zh"	"tʃɿ"	7	"陟"		"登也"
"zh"	"tʃɿ"	7	"騭"	"骘"	"陰～"
"zh"	"tʃɿ"	7	"櫛"	"栉"	"梳～；～沐"
"zh"	"tʃɿ"	7	"秷"		"～木，同「挃」"
"zh"	"tʃɿ"	7	"擲"	"掷"	"投也"
"zh"	"tʃɿ"	7	"䵹"	"蜘"	"～鼄"
"zh"	"tʃɿ"	7	"指"		"～腦子：指頭"
"ch"	"tʃʰɿ"	1	"蚩"		"～～者氓；～尤"
"ch"	"tʃʰɿ"	1	"嗤"		"～笑"
"ch"	"tʃʰɿ"	1	"媸"		"妍～"
"ch"	"tʃʰɿ"	1	"鴟"	"鸱"	"～鴞"
"ch"	"tʃʰɿ"	1	"癡"	"痴"	"～獃；～心妄想"
"ch"	"tʃʰɿ"	1		"攡"	"布也；發也；伸也；象聲詞：腳下滑動"
"ch"	"tʃʰɿ"	1	"螭"	"彲"	"若龍，無角"
"ch"	"tʃʰɿ"	1	"魑"		"～魅"
"ch"	"tʃʰɿ"	1	"黐"		"黏～"
"ch"	"tʃʰɿ"	1	"笞"		"鞭～"
"ch"	"tʃʰɿ"	1	"抬"		"同「笞」：擊也"
"ch"	"tʃʰɿ"	1	"齝"	"𱌯"	"牛之反芻也"
"ch"	"tʃʰɿ"	1	"絺"	"𫄨"	"細葛也"
"ch"	"tʃʰɿ"	1	"瓻"		"盛酒器"
"ch"	"tʃʰɿ"	1	"郗"		"周邑也"
"ch"	"tʃʰɿ"	1	"鍉"	"𫔂"	"鑰～"
"ch"	"tʃʰɿ"	1	"匙"		"匕也，即調羹；鑰～，俗「鍉」字"
"ch"	"tʃʰɿ"	1	"眵"		"目汁凝也"
"ch"	"tʃʰɿ"	1	"胵"		"鳥類臟腑也"
"ch"	"tʃʰɿ"	1	"褫"		"～奪"
"ch"	"tʃʰɿ"	1	"雉"		"野雞也"
"ch"	"tʃʰɿ"	3	"侈"		"奢～"
"ch"	"tʃʰɿ"	3	"哆"		"張口也"
"ch"	"tʃʰɿ"	3	"移"		"廣大也"
"ch"	"tʃʰɿ"	3	"誃"	"𰵥"	"離別也"
"ch"	"tʃʰɿ"	3	"豉"		"豆～"
"ch"	"tʃʰɿ"	3	"扡"		"分離也"
"ch"	"tʃʰɿ"	3	"恥"	"耻"	"～辱；廉～"
"ch"	"tʃʰɿ"	3	"齒"	"齿"	"牙～；～輪"
"ch"	"tʃʰɿ"	3	"褫"		"～奪"
"ch"	"tʃʰɿ"	3	"豸"		"蟲～；獬～，同「廌」"
"ch"	"tʃʰɿ"	3	"𢊁"		"獬～，獸名"
"ch"	"tʃʰɿ"	3	"雉"		"雄雞"
"ch"	"tʃʰɿ"	3	"袳"	"袲"	"～移：地名；衣張也"
"ch"	"tʃʰɿ"	5	"翄"	"翅"	"翼～；魚～"
"ch"	"tʃʰɿ"	5	"饎"	"𱄆"	"酒食也"
"ch"	"tʃʰɿ"	5	"糦"		"酒食也"
"ch"	"tʃʰɿ"	5	"眙"		"直視也"
"ch"	"tʃʰɿ"	5	"啻"		"不～"
"ch"	"tʃʰɿ"	5	"𥭊"		"塘壩～口"
"ch"	"tʃʰɿ"	5	"傺"		"侘～"
"ch"	"tʃʰɿ"	5	"雉"		"野雞也；～碟"
"ch"	"tʃʰɿ"	5	"穉"	"稚"	"幼～"
"ch"	"tʃʰɿ"	5	"彘"		"豕也"
"ch"	"tʃʰɿ"	5	"滯"	"滞"	"凝～；留～"
"ch"	"tʃʰɿ"	5	"懘"	"𰒒"	"惉～：敝敗不和皃"
"ch"	"tʃʰɿ"	5	"蹛"	"𰸚"	"通「滯」：凝～；留～"
"ch"	"tʃʰɿ"	5	"迣"		"超過也"
"ch"	"tʃʰɿ"	5	"𢷟"		"～礙"
"ch"	"tʃʰɿ"	5	"窒"		"舊～塞"
"ch"	"tʃʰɿ"	5	"膣"		"～道"
